Student_ID,Name,Age,Parent_Name,Knowledge_Level,Learning_Speed,Last_Test_Score,Next_Level
63,Ishita Das,7,Ashok Das,Intermediate,Medium,55,Beginner
64,Meera Nair,12,Harpreet Nair,Intermediate,Slow,89,Advanced
65,Aarav Mehta,11,Harpreet Mehta,Intermediate,Medium,67,Beginner
66,Ananya Nair,4,Anjali Nair,Intermediate,Medium,81,Intermediate
67,Ishita Yadav,7,Manoj Yadav,Beginner,Slow,75,Intermediate
68,Ishita Iyer,9,Sunita Iyer,Beginner,Medium,80,Intermediate
69,Aarav Iyer,10,Sunita Iyer,Advanced,Medium,68,Beginner
70,Meera Kaur,4,Harpreet Kaur,Intermediate,Fast,79,Intermediate
71,Rohan Yadav,7,Rekha Yadav,Beginner,Slow,82,Intermediate
72,Neha Sharma,5,Suresh Sharma,Advanced,Medium,66,Beginner
73,Rohan Das,7,Suresh Das,Intermediate,Medium,51,Beginner
74,Simran Iyer,4,Rekha Iyer,Intermediate,Fast,61,Beginner
75,Aarav Das,11,Rekha Das,Beginner,Fast,98,Advanced
76,Kabir Yadav,8,Pooja Yadav,Beginner,Medium,72,Intermediate
77,Raj Das,5,Ashok Das,Intermediate,Fast,80,Intermediate
78,Kabir Patel,5,Manoj Patel,Advanced,Slow,86,Advanced
79,Aarav Yadav,10,Rajesh Yadav,Intermediate,Fast,86,Advanced
80,Kabir Yadav,4,Sunita Yadav,Intermediate,Fast,66,Beginner
81,Aryan Nair,6,Rekha Nair,Intermediate,Fast,98,Advanced
82,Ananya Nair,4,Pooja Nair,Advanced,Fast,82,Intermediate
83,Meera Yadav,6,Harpreet Yadav,Advanced,Medium,83,Intermediate
84,Aarav Mehta,5,Anjali Mehta,Beginner,Slow,93,Advanced
85,Neha Mehta,11,Suresh Mehta,Advanced,Fast,58,Beginner
86,Ishita Kaur,7,Rajesh Kaur,Intermediate,Medium,66,Beginner
87,Ishita Gupta,9,Manoj Gupta,Intermediate,Medium,58,Beginner
88,Kabir Nair,8,Sunita Nair,Advanced,Slow,87,Advanced
89,Simran Sharma,8,Harpreet Sharma,Intermediate,Fast,50,Beginner
90,Kabir Iyer,4,Ashok Iyer,Beginner,Slow,68,Beginner
91,Aryan Yadav,10,Manoj Yadav,Beginner,Slow,67,Beginner
92,Aryan Iyer,8,Suresh Iyer,Beginner,Fast,78,Intermediate
93,Aarav Iyer,12,Sunita Iyer,Intermediate,Medium,64,Beginner
94,Aryan Yadav,11,Rekha Yadav,Beginner,Medium,70,Beginner
95,Simran Patel,10,Ashok Patel,Advanced,Slow,76,Intermediate
96,Neha Patel,5,Neha Patel,Intermediate,Medium,87,Advanced
97,Aryan Yadav,11,Anjali Yadav,Advanced,Fast,57,Beginner
98,Kabir Mehta,10,Sunita Mehta,Intermediate,Fast,80,Intermediate
99,Rohan Nair,10,Harpreet Nair,Advanced,Fast,91,Advanced
100,Meera Mehta,11,Sunita Mehta,Advanced,Slow,76,Intermediate
101,Kabir Iyer,5,Rajesh Iyer,Advanced,Slow,61,Beginner
102,Raj Sharma,5,Rekha Sharma,Intermediate,Medium,72,Intermediate
103,Ananya Gupta,12,Suresh Gupta,Beginner,Medium,96,Advanced
104,Ananya Mehta,11,Suresh Mehta,Beginner,Fast,56,Beginner
105,Ishita Kaur,6,Harpreet Kaur,Intermediate,Medium,60,Beginner
106,Ananya Yadav,4,Anjali Yadav,Intermediate,Slow,85,Intermediate
107,Aarav Yadav,11,Rekha Yadav,Intermediate,Fast,78,Intermediate
108,Raj Verma,7,Rajesh Verma,Beginner,Slow,100,Advanced
109,Ishita Mehta,9,Anjali Mehta,Beginner,Fast,77,Intermediate
110,Aryan Gupta,6,Pooja Gupta,Advanced,Medium,75,Intermediate
111,Aryan Das,5,Anjali Das,Intermediate,Medium,68,Beginner
112,Rohan Verma,6,Rekha Verma,Advanced,Fast,56,Beginner
113,Ananya Mehta,10,Harpreet Mehta,Beginner,Fast,66,Beginner
114,Neha Verma,10,Pooja Verma,Intermediate,Fast,67,Beginner
115,Aryan Verma,10,Manoj Verma,Intermediate,Slow,57,Beginner
116,Ishita Iyer,5,Suresh Iyer,Beginner,Slow,77,Intermediate
117,Ishita Nair,7,Harpreet Nair,Intermediate,Medium,68,Beginner
118,Aryan Iyer,6,Sunita Iyer,Advanced,Slow,92,Advanced
119,Neha Verma,10,Rekha Verma,Advanced,Slow,79,Intermediate
120,Ishita Kaur,11,Rajesh Kaur,Intermediate,Medium,82,Intermediate
121,Kabir Das,12,Pooja Das,Advanced,Slow,89,Advanced
122,Neha Sharma,6,Rekha Sharma,Intermediate,Medium,63,Beginner
123,Aryan Kaur,11,Anjali Kaur,Beginner,Fast,78,Intermediate
124,Aarav Patel,6,Manoj Patel,Intermediate,Fast,69,Beginner
125,Raj Gupta,7,Rajesh Gupta,Intermediate,Slow,76,Intermediate
126,Ishita Verma,5,Rekha Verma,Advanced,Medium,52,Beginner
127,Meera Patel,5,Neha Patel,Intermediate,Medium,78,Intermediate
128,Kabir Mehta,9,Harpreet Mehta,Intermediate,Medium,89,Advanced
129,Aryan Verma,7,Rekha Verma,Beginner,Slow,57,Beginner
130,Aryan Yadav,7,Suresh Yadav,Intermediate,Medium,81,Intermediate
131,Ananya Yadav,8,Sunita Yadav,Intermediate,Fast,78,Intermediate
132,Aryan Verma,6,Pooja Verma,Beginner,Slow,94,Advanced
133,Raj Verma,8,Pooja Verma,Intermediate,Fast,74,Intermediate
134,Ishita Nair,10,Sunita Nair,Beginner,Medium,84,Intermediate
135,Raj Iyer,5,Neha Iyer,Intermediate,Slow,63,Beginner
136,Ananya Gupta,8,Harpreet Gupta,Advanced,Fast,56,Beginner
137,Kabir Yadav,12,Rekha Yadav,Beginner,Slow,70,Beginner
138,Rohan Sharma,10,Neha Sharma,Advanced,Fast,68,Beginner
139,Meera Das,11,Rekha Das,Advanced,Slow,63,Beginner
140,Ishita Iyer,12,Sunita Iyer,Intermediate,Slow,99,Advanced
141,Raj Mehta,8,Anjali Mehta,Beginner,Fast,91,Advanced
142,Kabir Verma,7,Manoj Verma,Intermediate,Medium,86,Advanced
143,Neha Nair,5,Suresh Nair,Beginner,Slow,75,Intermediate
144,Simran Das,11,Harpreet Das,Advanced,Medium,61,Beginner
145,Aarav Nair,8,Rekha Nair,Intermediate,Medium,77,Intermediate
146,Ishita Patel,9,Suresh Patel,Intermediate,Fast,78,Intermediate
147,Raj Gupta,12,Manoj Gupta,Intermediate,Slow,82,Intermediate
148,Raj Iyer,12,Rekha Iyer,Advanced,Medium,71,Intermediate
149,Rohan Iyer,10,Pooja Iyer,Beginner,Fast,87,Advanced
150,Simran Verma,8,Pooja Verma,Beginner,Slow,56,Beginner
151,Meera Yadav,4,Suresh Yadav,Advanced,Medium,81,Intermediate
152,Simran Das,11,Pooja Das,Intermediate,Medium,60,Beginner
153,Ishita Nair,10,Manoj Nair,Advanced,Slow,98,Advanced
154,Rohan Nair,12,Harpreet Nair,Beginner,Medium,92,Advanced
155,Raj Mehta,10,Pooja Mehta,Intermediate,Slow,80,Intermediate
156,Ishita Verma,9,Rajesh Verma,Beginner,Slow,91,Advanced
157,Neha Patel,8,Rekha Patel,Beginner,Slow,64,Beginner
158,Ishita Gupta,12,Harpreet Gupta,Intermediate,Medium,84,Intermediate
159,Ishita Iyer,10,Manoj Iyer,Beginner,Fast,50,Beginner
160,Ishita Nair,7,Anjali Nair,Beginner,Fast,87,Advanced
161,Raj Sharma,10,Sunita Sharma,Intermediate,Medium,96,Advanced
162,Aarav Yadav,10,Rajesh Yadav,Advanced,Fast,50,Beginner
163,Aryan Verma,11,Manoj Verma,Intermediate,Medium,62,Beginner
164,Raj Das,10,Pooja Das,Advanced,Slow,97,Advanced
165,Aryan Patel,12,Rajesh Patel,Beginner,Medium,98,Advanced
166,Aryan Verma,10,Anjali Verma,Intermediate,Medium,60,Beginner
167,Kabir Patel,7,Anjali Patel,Beginner,Medium,93,Advanced
168,Raj Kaur,6,Harpreet Kaur,Advanced,Slow,71,Intermediate
169,Simran Gupta,11,Manoj Gupta,Advanced,Slow,58,Beginner
170,Kabir Kaur,7,Neha Kaur,Beginner,Medium,75,Intermediate
171,Ananya Das,5,Rekha Das,Intermediate,Slow,93,Advanced
172,Aarav Patel,11,Anjali Patel,Intermediate,Fast,98,Advanced
173,Simran Das,7,Ashok Das,Beginner,Slow,69,Beginner
174,Meera Das,11,Manoj Das,Intermediate,Slow,50,Beginner
175,Ishita Kaur,9,Ashok Kaur,Intermediate,Medium,81,Intermediate
176,Simran Nair,7,Pooja Nair,Intermediate,Slow,100,Advanced
177,Raj Iyer,9,Rekha Iyer,Beginner,Fast,53,Beginner
178,Ananya Nair,10,Sunita Nair,Intermediate,Fast,94,Advanced
179,Meera Verma,7,Anjali Verma,Beginner,Slow,55,Beginner
180,Simran Das,7,Rekha Das,Beginner,Slow,79,Intermediate
181,Kabir Sharma,8,Neha Sharma,Advanced,Fast,67,Beginner
182,Meera Iyer,8,Manoj Iyer,Advanced,Fast,63,Beginner
183,Ananya Verma,10,Anjali Verma,Intermediate,Slow,89,Advanced
184,Simran Iyer,10,Harpreet Iyer,Intermediate,Medium,58,Beginner
185,Simran Kaur,8,Neha Kaur,Intermediate,Fast,82,Intermediate
186,Simran Gupta,11,Neha Gupta,Beginner,Slow,56,Beginner
187,Kabir Nair,4,Rekha Nair,Advanced,Medium,67,Beginner
188,Simran Gupta,9,Rajesh Gupta,Intermediate,Slow,64,Beginner
189,Meera Sharma,9,Manoj Sharma,Intermediate,Medium,90,Advanced
190,Kabir Yadav,10,Manoj Yadav,Beginner,Fast,82,Intermediate
191,Kabir Gupta,7,Harpreet Gupta,Beginner,Fast,93,Advanced
192,Meera Patel,11,Harpreet Patel,Beginner,Fast,62,Beginner
193,Meera Kaur,11,Rajesh Kaur,Beginner,Slow,65,Beginner
194,Ishita Yadav,5,Rajesh Yadav,Beginner,Medium,79,Intermediate
195,Kabir Das,4,Suresh Das,Advanced,Medium,83,Intermediate
196,Neha Gupta,4,Manoj Gupta,Beginner,Fast,50,Beginner
197,Neha Kaur,8,Suresh Kaur,Beginner,Fast,99,Advanced
198,Aarav Iyer,8,Rekha Iyer,Advanced,Fast,84,Intermediate
199,Ananya Patel,10,Pooja Patel,Beginner,Fast,84,Intermediate
200,Meera Sharma,5,Rekha Sharma,Beginner,Slow,75,Intermediate
201,Aarav Yadav,5,Rajesh Yadav,Advanced,Medium,51,Beginner
202,Simran Iyer,8,Neha Iyer,Beginner,Fast,76,Intermediate
203,Raj Kaur,4,Manoj Kaur,Advanced,Fast,75,Intermediate
204,Rohan Kaur,10,Neha Kaur,Intermediate,Medium,66,Beginner
205,Ishita Sharma,6,Ashok Sharma,Advanced,Medium,79,Intermediate
206,Aryan Gupta,4,Rajesh Gupta,Advanced,Slow,67,Beginner
207,Kabir Patel,5,Rekha Patel,Beginner,Fast,86,Advanced
208,Meera Verma,11,Suresh Verma,Beginner,Fast,71,Intermediate
209,Raj Kaur,8,Pooja Kaur,Intermediate,Fast,72,Intermediate
210,Raj Iyer,8,Harpreet Iyer,Intermediate,Slow,85,Intermediate
211,Meera Das,8,Rekha Das,Intermediate,Fast,51,Beginner
212,Aarav Iyer,9,Anjali Iyer,Advanced,Medium,88,Advanced
213,Meera Gupta,8,Anjali Gupta,Beginner,Fast,85,Intermediate
214,Neha Gupta,9,Neha Gupta,Beginner,Medium,70,Beginner
215,Neha Verma,12,Manoj Verma,Intermediate,Slow,79,Intermediate
216,Rohan Mehta,12,Harpreet Mehta,Beginner,Fast,56,Beginner
217,Simran Sharma,10,Anjali Sharma,Beginner,Fast,55,Beginner
218,Neha Das,11,Pooja Das,Beginner,Slow,53,Beginner
219,Simran Iyer,10,Rekha Iyer,Intermediate,Fast,85,Intermediate
220,Aryan Kaur,4,Rekha Kaur,Advanced,Medium,71,Intermediate
221,Kabir Iyer,11,Harpreet Iyer,Advanced,Fast,66,Beginner
222,Ananya Kaur,10,Neha Kaur,Advanced,Medium,68,Beginner
223,Kabir Nair,6,Harpreet Nair,Advanced,Fast,65,Beginner
224,Rohan Gupta,10,Suresh Gupta,Advanced,Fast,84,Intermediate
225,Kabir Gupta,11,Rajesh Gupta,Intermediate,Fast,99,Advanced
226,Aryan Iyer,4,Anjali Iyer,Intermediate,Slow,62,Beginner
227,Raj Gupta,12,Rekha Gupta,Advanced,Slow,80,Intermediate
228,Kabir Mehta,6,Sunita Mehta,Intermediate,Slow,63,Beginner
229,Ishita Patel,11,Anjali Patel,Beginner,Medium,62,Beginner
230,Aryan Verma,12,Anjali Verma,Advanced,Slow,63,Beginner
231,Simran Gupta,10,Sunita Gupta,Intermediate,Medium,69,Beginner
232,Meera Sharma,12,Manoj Sharma,Intermediate,Medium,81,Intermediate
233,Ishita Patel,7,Anjali Patel,Advanced,Fast,93,Advanced
234,Neha Sharma,10,Rekha Sharma,Beginner,Medium,57,Beginner
235,Ishita Verma,4,Rajesh Verma,Advanced,Slow,98,Advanced
236,Ananya Das,6,Rajesh Das,Intermediate,Slow,63,Beginner
237,Aryan Mehta,12,Suresh Mehta,Beginner,Fast,94,Advanced
238,Aryan Iyer,9,Manoj Iyer,Intermediate,Fast,76,Intermediate
239,Aarav Das,7,Neha Das,Advanced,Medium,82,Intermediate
240,Kabir Sharma,11,Neha Sharma,Advanced,Fast,77,Intermediate
241,Neha Kaur,12,Neha Kaur,Beginner,Slow,54,Beginner
242,Kabir Das,7,Ashok Das,Advanced,Slow,53,Beginner
243,Ishita Patel,9,Pooja Patel,Advanced,Slow,95,Advanced
244,Aarav Verma,9,Pooja Verma,Intermediate,Medium,84,Intermediate
245,Aarav Mehta,5,Sunita Mehta,Advanced,Medium,74,Intermediate
246,Aarav Verma,9,Suresh Verma,Advanced,Slow,87,Advanced
247,Rohan Nair,12,Anjali Nair,Beginner,Medium,64,Beginner
248,Meera Verma,6,Pooja Verma,Intermediate,Medium,51,Beginner
249,Raj Nair,10,Harpreet Nair,Beginner,Slow,82,Intermediate
250,Kabir Yadav,5,Ashok Yadav,Intermediate,Medium,68,Beginner
251,Aryan Yadav,10,Anjali Yadav,Intermediate,Slow,97,Advanced
252,Simran Mehta,7,Neha Mehta,Beginner,Slow,69,Beginner
253,Aarav Sharma,4,Ashok Sharma,Advanced,Slow,92,Advanced
254,Meera Sharma,8,Anjali Sharma,Advanced,Medium,53,Beginner
255,Raj Yadav,12,Anjali Yadav,Intermediate,Slow,99,Advanced
256,Raj Iyer,6,Anjali Iyer,Advanced,Medium,74,Intermediate
257,Aryan Verma,4,Suresh Verma,Intermediate,Medium,64,Beginner
258,Ishita Kaur,6,Pooja Kaur,Beginner,Medium,81,Intermediate
259,Meera Mehta,4,Pooja Mehta,Advanced,Slow,80,Intermediate
260,Aryan Mehta,11,Pooja Mehta,Beginner,Slow,88,Advanced
261,Raj Iyer,10,Sunita Iyer,Intermediate,Fast,57,Beginner
262,Raj Patel,7,Rajesh Patel,Beginner,Slow,97,Advanced
263,Simran Verma,9,Suresh Verma,Intermediate,Medium,76,Intermediate
264,Ananya Sharma,8,Ashok Sharma,Advanced,Slow,57,Beginner
265,Aryan Sharma,5,Suresh Sharma,Advanced,Medium,90,Advanced
266,Kabir Gupta,5,Rajesh Gupta,Intermediate,Medium,51,Beginner
267,Ishita Mehta,8,Neha Mehta,Advanced,Slow,64,Beginner
268,Ishita Das,9,Suresh Das,Beginner,Fast,93,Advanced
269,Aryan Verma,6,Anjali Verma,Advanced,Fast,92,Advanced
270,Rohan Verma,8,Anjali Verma,Beginner,Fast,90,Advanced
271,Aryan Yadav,12,Pooja Yadav,Intermediate,Fast,96,Advanced
272,Meera Gupta,11,Ashok Gupta,Advanced,Slow,97,Advanced
273,Aarav Sharma,9,Rekha Sharma,Intermediate,Medium,64,Beginner
274,Ananya Verma,4,Neha Verma,Advanced,Medium,83,Intermediate
275,Simran Verma,12,Ashok Verma,Beginner,Slow,80,Intermediate
276,Raj Verma,6,Suresh Verma,Advanced,Fast,60,Beginner
277,Neha Yadav,4,Anjali Yadav,Intermediate,Slow,54,Beginner
278,Raj Patel,9,Ashok Patel,Intermediate,Medium,98,Advanced
279,Aarav Das,12,Anjali Das,Advanced,Fast,74,Intermediate
280,Meera Kaur,12,Ashok Kaur,Intermediate,Slow,95,Advanced
281,Kabir Das,12,Harpreet Das,Intermediate,Fast,64,Beginner
282,Simran Verma,7,Manoj Verma,Intermediate,Slow,77,Intermediate
283,Meera Verma,6,Manoj Verma,Advanced,Slow,83,Intermediate
284,Raj Gupta,7,Suresh Gupta,Advanced,Medium,62,Beginner
285,Rohan Das,11,Sunita Das,Intermediate,Slow,83,Intermediate
286,Raj Sharma,5,Suresh Sharma,Advanced,Slow,95,Advanced
287,Aryan Yadav,5,Rajesh Yadav,Beginner,Slow,97,Advanced
288,Aarav Iyer,7,Neha Iyer,Intermediate,Slow,53,Beginner
289,Aryan Sharma,9,Manoj Sharma,Beginner,Medium,53,Beginner
290,Neha Yadav,10,Neha Yadav,Beginner,Slow,65,Beginner
291,Raj Gupta,9,Rajesh Gupta,Advanced,Medium,96,Advanced
292,Neha Mehta,11,Neha Mehta,Advanced,Slow,65,Beginner
293,Raj Patel,4,Anjali Patel,Advanced,Slow,95,Advanced
294,Kabir Kaur,10,Rekha Kaur,Intermediate,Slow,88,Advanced
295,Meera Yadav,9,Sunita Yadav,Advanced,Slow,51,Beginner
296,Simran Yadav,10,Neha Yadav,Intermediate,Slow,67,Beginner
297,Neha Gupta,8,Sunita Gupta,Intermediate,Fast,69,Beginner
298,Ishita Kaur,8,Suresh Kaur,Advanced,Fast,87,Advanced
299,Raj Iyer,9,Sunita Iyer,Beginner,Fast,71,Intermediate
300,Ananya Verma,4,Ashok Verma,Advanced,Fast,99,Advanced
301,Meera Kaur,9,Anjali Kaur,Intermediate,Fast,79,Intermediate
302,Kabir Kaur,9,Neha Kaur,Beginner,Slow,56,Beginner
303,Meera Gupta,12,Rajesh Gupta,Beginner,Slow,57,Beginner
304,Rohan Iyer,5,Harpreet Iyer,Advanced,Fast,56,Beginner
305,Rohan Das,8,Neha Das,Advanced,Fast,64,Beginner
306,Meera Nair,5,Ashok Nair,Intermediate,Fast,92,Advanced
307,Aryan Patel,4,Pooja Patel,Intermediate,Slow,75,Intermediate
308,Aryan Iyer,7,Manoj Iyer,Beginner,Fast,96,Advanced
309,Simran Nair,8,Rajesh Nair,Intermediate,Fast,72,Intermediate
310,Ishita Kaur,4,Harpreet Kaur,Beginner,Medium,56,Beginner
311,Raj Gupta,11,Ashok Gupta,Beginner,Slow,52,Beginner
312,Meera Verma,8,Pooja Verma,Advanced,Medium,65,Beginner
313,Ishita Gupta,10,Rekha Gupta,Beginner,Medium,62,Beginner
314,Ishita Gupta,8,Neha Gupta,Beginner,Medium,84,Intermediate
315,Rohan Verma,9,Anjali Verma,Intermediate,Slow,55,Beginner
316,Raj Das,11,Pooja Das,Beginner,Medium,89,Advanced
317,Kabir Sharma,6,Sunita Sharma,Advanced,Medium,79,Intermediate
318,Aarav Gupta,9,Manoj Gupta,Intermediate,Fast,66,Beginner
319,Meera Iyer,11,Rekha Iyer,Beginner,Slow,86,Advanced
320,Neha Mehta,4,Anjali Mehta,Beginner,Slow,95,Advanced
321,Kabir Sharma,9,Ashok Sharma,Advanced,Slow,59,Beginner
322,Meera Yadav,8,Suresh Yadav,Intermediate,Slow,51,Beginner
323,Meera Kaur,8,Neha Kaur,Beginner,Medium,91,Advanced
324,Ishita Gupta,8,Ashok Gupta,Advanced,Slow,63,Beginner
325,Aryan Nair,7,Neha Nair,Intermediate,Slow,99,Advanced
326,Aarav Nair,9,Neha Nair,Intermediate,Slow,65,Beginner
327,Aarav Sharma,7,Pooja Sharma,Intermediate,Fast,71,Intermediate
328,Ananya Verma,4,Anjali Verma,Beginner,Medium,53,Beginner
329,Rohan Sharma,10,Suresh Sharma,Advanced,Medium,54,Beginner
330,Kabir Verma,7,Anjali Verma,Advanced,Slow,68,Beginner
331,Meera Patel,12,Suresh Patel,Beginner,Medium,87,Advanced
332,Meera Mehta,12,Rajesh Mehta,Intermediate,Fast,65,Beginner
333,Neha Sharma,10,Rajesh Sharma,Intermediate,Slow,90,Advanced
334,Ishita Sharma,11,Harpreet Sharma,Beginner,Fast,74,Intermediate
335,Neha Iyer,7,Manoj Iyer,Advanced,Fast,70,Beginner
336,Aarav Verma,5,Ashok Verma,Intermediate,Medium,96,Advanced
337,Rohan Verma,11,Anjali Verma,Beginner,Medium,82,Intermediate
338,Aarav Kaur,12,Manoj Kaur,Advanced,Fast,95,Advanced
339,Neha Das,7,Harpreet Das,Advanced,Slow,80,Intermediate
340,Ishita Das,8,Anjali Das,Advanced,Fast,62,Beginner
341,Ishita Patel,7,Sunita Patel,Beginner,Fast,68,Beginner
342,Ananya Yadav,4,Pooja Yadav,Beginner,Fast,58,Beginner
343,Neha Yadav,9,Sunita Yadav,Advanced,Medium,80,Intermediate
344,Neha Das,12,Manoj Das,Advanced,Slow,96,Advanced
345,Kabir Kaur,6,Manoj Kaur,Advanced,Slow,54,Beginner
346,Aryan Iyer,5,Anjali Iyer,Intermediate,Slow,90,Advanced
347,Simran Kaur,12,Harpreet Kaur,Beginner,Medium,51,Beginner
348,Aryan Verma,6,Rekha Verma,Beginner,Fast,94,Advanced
349,Raj Verma,11,Rekha Verma,Advanced,Medium,100,Advanced
350,Neha Verma,5,Manoj Verma,Advanced,Slow,67,Beginner
351,Neha Das,7,Neha Das,Advanced,Medium,94,Advanced
352,Simran Sharma,8,Rajesh Sharma,Advanced,Fast,65,Beginner
353,Neha Kaur,8,Manoj Kaur,Beginner,Slow,77,Intermediate
354,Aryan Verma,5,Ashok Verma,Intermediate,Medium,91,Advanced
355,Kabir Mehta,11,Rajesh Mehta,Beginner,Medium,74,Intermediate
356,Ananya Gupta,11,Pooja Gupta,Advanced,Fast,68,Beginner
357,Meera Gupta,5,Suresh Gupta,Beginner,Slow,95,Advanced
358,Ishita Mehta,9,Pooja Mehta,Beginner,Slow,78,Intermediate
359,Aarav Verma,10,Harpreet Verma,Advanced,Slow,64,Beginner
360,Aryan Kaur,9,Anjali Kaur,Advanced,Fast,61,Beginner
361,Neha Yadav,6,Rekha Yadav,Advanced,Slow,79,Intermediate
362,Raj Yadav,12,Harpreet Yadav,Intermediate,Medium,56,Beginner
363,Kabir Gupta,8,Harpreet Gupta,Intermediate,Medium,77,Intermediate
364,Meera Mehta,7,Anjali Mehta,Beginner,Slow,67,Beginner
365,Ishita Gupta,8,Anjali Gupta,Intermediate,Slow,87,Advanced
366,Rohan Iyer,4,Anjali Iyer,Beginner,Medium,83,Intermediate
367,Rohan Patel,4,Sunita Patel,Beginner,Fast,78,Intermediate
368,Rohan Mehta,7,Suresh Mehta,Intermediate,Fast,58,Beginner
369,Simran Verma,9,Sunita Verma,Intermediate,Fast,52,Beginner
370,Neha Sharma,7,Neha Sharma,Beginner,Fast,78,Intermediate
371,Meera Yadav,5,Anjali Yadav,Beginner,Fast,55,Beginner
372,Simran Das,8,Manoj Das,Advanced,Fast,52,Beginner
